freq_GHz,S11_dB,S21_dB
3.603499999999999925e+00,-2.108657172093760224e+01,-1.669844351508241287e+00
3.615749999999999797e+00,-2.156768118069700435e+01,-1.673906277917742713e+00
3.628000000000000114e+00,-2.204308168304743987e+01,-1.677965476064730233e+00
3.640249999999999986e+00,-2.250839092275260001e+01,-1.682021959755631624e+00
3.652499999999999858e+00,-2.295931990819651247e+01,-1.686075742680819722e+00
3.664750000000000174e+00,-2.339171263241604848e+01,-1.690126838415974220e+00
3.677000000000000046e+00,-2.380158451409474907e+01,-1.694175260423421703e+00
3.689249999999999918e+00,-2.418515925295898228e+01,-1.698221022053456153e+00
3.701499999999999790e+00,-2.453890375868355278e+01,-1.702264136545640572e+00
3.713750000000000107e+00,-2.485956083023267027e+01,-1.706304617030088178e+00
3.725999999999999979e+00,-2.514417928337007524e+01,-1.710342476528724731e+00
3.738249999999999851e+00,-2.539014124767439995e+01,-1.714377727956532649e+00
3.750500000000000167e+00,-2.559518638057707918e+01,-1.718410384122777135e+00
3.762750000000000039e+00,-2.575743277445555179e+01,-1.722440457732212327e+00
3.774999999999999911e+00,-2.587539436340242460e+01,-1.726467961386272343e+00
3.787249999999999783e+00,-2.594799466866710347e+01,-1.730492907584244122e+00
3.799500000000000099e+00,-2.597457675563177304e+01,-1.734515308724421834e+00
3.811749999999999972e+00,-2.595490931022508718e+01,-1.738535177105245744e+00
3.823999999999999844e+00,-2.588918877856987066e+01,-1.742552524926425317e+00
3.836250000000000160e+00,-2.577803755007433395e+01,-1.746567364290044777e+00
3.848500000000000032e+00,-2.562249820077214935e+01,-1.750579707201652901e+00
3.860749999999999904e+00,-2.542402385015752841e+01,-1.754589565571338383e+00
3.873000000000000220e+00,-2.518446472070949582e+01,-1.758596951214789206e+00
3.885250000000000092e+00,-2.490605102442258811e+01,-1.762601875854335809e+00
3.897499999999999964e+00,-2.459137233463458116e+01,-1.766604351119981597e+00
3.909749999999999837e+00,-2.424335363395102050e+01,-1.770604388550417685e+00
3.922000000000000153e+00,-2.386522825981041507e+01,-1.774601999594022317e+00
3.934250000000000025e+00,-2.346050799792948993e+01,-1.778597195609848969e+00
3.946499999999999897e+00,-2.303295060024815655e+01,-1.782589987868598236e+00
3.958750000000000213e+00,-2.258652502781632165e+01,-1.786580387553577065e+00
3.971000000000000085e+00,-2.212537474010715499e+01,-1.790568405761644000e+00
3.983249999999999957e+00,-2.165377937031138700e+01,-1.794554053504143321e+00
3.995499999999999829e+00,-2.117611514109593429e+01,-1.798537341707822979e+00
4.007749999999999702e+00,-2.069681438696026277e+01,-1.802518281215743645e+00
4.019999999999999574e+00,-2.022032455758701985e+01,-1.806496882788171110e+00
4.032250000000000334e+00,-1.975106708138453371e+01,-1.810473157103460684e+00
4.044500000000000206e+00,-1.929339646971148881e+01,-1.814447114758925839e+00
4.056750000000000078e+00,-1.885156004004829811e+01,-1.818418766271698184e+00
4.068999999999999950e+00,-1.842965863065433041e+01,-1.822388122079573236e+00
4.081249999999999822e+00,-1.803160867007970225e+01,-1.826355192541845973e+00
4.093499999999999694e+00,-1.766110595236861514e+01,-1.830319987940135507e+00
4.105749999999999567e+00,-1.732159145301469039e+01,-1.834282518479196877e+00
4.118000000000000327e+00,-1.701621950185228371e+01,-1.838242794287723747e+00
4.130250000000000199e+00,-1.674782860726764611e+01,-1.842200825419140209e+00
4.142500000000000071e+00,-1.651891520159128035e+01,-1.846156621852381052e+00
4.154749999999999943e+00,-1.633161055051180810e+01,-1.850110193492662036e+00
4.166999999999999815e+00,-1.618766104008770412e+01,-1.854061550172239947e+00
4.179249999999999687e+00,-1.608841202369135104e+01,-1.858010701651163998e+00
4.191499999999999559e+00,-1.603479537829272772e+01,-1.861957657618014128e+00
4.203750000000000320e+00,-1.602732088518052933e+01,-1.865902427690633969e+00
4.216000000000000192e+00,-1.606607151484445950e+01,-1.869845021416848052e+00
4.228250000000000064e+00,-1.615070265963111851e+01,-1.873785448275177457e+00
4.240499999999999936e+00,-1.628044532127095323e+01,-1.877723717675539916e+00
4.252749999999999808e+00,-1.645411322379333896e+01,-1.881659838959943265e+00
