freq_GHz,S11_dB
1.776999999999999913e+00,-2.681255569625289326e-01
1.779600000000000071e+00,-2.105712200432856562e-01
1.782200000000000006e+00,-1.594480767817643141e-01
1.784799999999999942e+00,-1.149628095706098918e-01
1.787400000000000100e+00,-7.729651825859829017e-02
1.790000000000000036e+00,-4.660476630030796485e-02
1.792599999999999971e+00,-2.301767242006658165e-02
1.795199999999999907e+00,-6.640050831275168264e-03
1.797800000000000065e+00,2.448396904100036409e-03
1.800400000000000000e+00,4.192835376043646534e-03
1.802999999999999936e+00,-1.437008611951284820e-03
1.805600000000000094e+00,-1.444720991613390737e-02
1.808200000000000029e+00,-3.482007096533035195e-02
1.810799999999999965e+00,-6.251461135321445539e-02
1.813399999999999901e+00,-9.746712222564024586e-02
1.816000000000000059e+00,-1.395917860088262685e-01
1.818599999999999994e+00,-1.887813614224711500e-01
1.821199999999999930e+00,-2.449079331009258453e-01
1.823800000000000088e+00,-3.078237245175046155e-01
1.826400000000000023e+00,-3.773619722830705570e-01
1.828999999999999959e+00,-4.533378592803192220e-01
1.831599999999999895e+00,-5.355495035090358513e-01
1.834200000000000053e+00,-6.237789989631581378e-01
1.836799999999999988e+00,-7.177935043448977481e-01
1.839399999999999924e+00,-8.173463749505920362e-01
1.842000000000000082e+00,-9.221783326424839444e-01
1.844600000000000017e+00,-1.032018668454283805e+00
1.847199999999999953e+00,-1.146586472069406781e+00
1.849800000000000111e+00,-1.265591882161286819e+00
1.852400000000000047e+00,-1.388737351396601483e+00
1.854999999999999982e+00,-1.515718919774983853e+00
1.857599999999999918e+00,-1.646227489912783781e+00
1.860200000000000076e+00,-1.779950097872476711e+00
1.862800000000000011e+00,-1.916571173192015642e+00
1.865399999999999947e+00,-2.055773781877452855e+00
1.868000000000000105e+00,-2.197240846284796767e+00
1.870600000000000041e+00,-2.340656336030217055e+00
1.873199999999999976e+00,-2.485706424327648989e+00
1.875799999999999912e+00,-2.632080604455701689e+00
1.878400000000000070e+00,-2.779472761397317804e+00
1.881000000000000005e+00,-2.927582194071375099e+00
1.883599999999999941e+00,-3.076114583980710471e+00
1.886200000000000099e+00,-3.224782906531296511e+00
1.888800000000000034e+00,-3.373308281727468660e+00
1.891399999999999970e+00,-3.521420761413602385e+00
1.893999999999999906e+00,-3.668860050708603993e+00
1.896600000000000064e+00,-3.815376161761305340e+00
1.899199999999999999e+00,-3.960729998437880539e+00
1.901799999999999935e+00,-4.104693871032269570e+00
1.904400000000000093e+00,-4.247051940563150829e+00
1.907000000000000028e+00,-4.387600592682380451e+00
1.909599999999999964e+00,-4.526148741666199626e+00
1.912199999999999900e+00,-4.662518065388747246e+00
1.914800000000000058e+00,-4.796543172584158299e+00
1.917399999999999993e+00,-4.928071704086429250e+00
1.919999999999999929e+00,-5.056964370092424943e+00
1.922600000000000087e+00,-5.183094925821418286e+00
1.925200000000000022e+00,-5.306350088242169249e+00
1.927799999999999958e+00,-5.426629396804881544e+00
1.930399999999999894e+00,-5.543845021349209645e+00
1.933000000000000052e+00,-5.657921520560300621e+00
1.935599999999999987e+00,-5.768795554512399448e+00
1.938199999999999923e+00,-5.876415554973782207e+00
1.940800000000000081e+00,-5.980741357248152035e+00
1.943400000000000016e+00,-6.081743797396802265e+00
1.945999999999999952e+00,-6.179404278723574784e+00
1.948600000000000110e+00,-6.273714311412359912e+00
1.951200000000000045e+00,-6.364675029185703714e+00
1.953799999999999981e+00,-6.452296686804804615e+00
1.956399999999999917e+00,-6.536598142157471258e+00
1.959000000000000075e+00,-6.617606326583296728e+00
1.961600000000000010e+00,-6.695355706966622300e+00
1.964199999999999946e+00,-6.769887742989691759e+00
1.966800000000000104e+00,-6.841250342783032679e+00
1.969400000000000039e+00,-6.909497320039786672e+00
1.971999999999999975e+00,-6.974687855477554876e+00
