freq_GHz,S11_dB,S21_dB,Z0_ohm
1.423666666666666414e+00,-2.326944046016141954e+01,-6.402591976263614093e-01,5.090624293596952299e+01
1.429999999999999938e+00,-2.326808758147309319e+01,-6.422516527827079047e-01,5.114743378612104152e+01
1.436333333333333240e+00,-2.319684400231418664e+01,-6.442414623690039255e-01,5.141301427018410664e+01
1.442666666666666542e+00,-2.305729520486205431e+01,-6.462286415402280770e-01,5.170130306448486124e+01
1.449000000000000066e+00,-2.285222672017545875e+01,-6.482132052984381776e-01,5.201047508471240377e+01
1.455333333333333146e+00,-2.258557518942366471e+01,-6.501951684949744958e-01,5.233857304007132427e+01
1.461666666666666448e+00,-2.226235920135460589e+01,-6.521745458326242417e-01,5.268351982440067616e+01
1.467999999999999972e+00,-2.188859112111324734e+01,-6.541513518677432026e-01,5.304313166581398775e+01
1.474333333333333274e+00,-2.147117145948228512e+01,-6.561256010123394100e-01,5.341513195161323324e+01
1.480666666666666575e+00,-2.101776763836383566e+01,-6.580973075361183922e-01,5.379716564095502207e+01
1.487000000000000099e+00,-2.053667928246106911e+01,-6.600664855684904575e-01,5.418681417402557798e+01
1.493333333333333179e+00,-2.003669240384025940e+01,-6.620331491005411184e-01,5.458161078333842653e+01
1.499666666666666481e+00,-1.952692504119187689e+01,-6.639973119869662099e-01,5.497905611022296313e+01
1.506000000000000005e+00,-1.901666706574277654e+01,-6.659589879479710373e-01,5.537663402763967468e+01
1.512333333333333307e+00,-1.851521696825686192e+01,-6.679181905711357725e-01,5.577182756915134121e+01
1.518666666666666609e+00,-1.803171849459891973e+01,-6.698749333132474337e-01,5.616213486320889814e+01
1.524999999999999911e+00,-1.757499999999999218e+01,-6.718292295020985572e-01,5.654508497187474347e+01
1.531333333333333213e+00,-1.715341934439495120e+01,-6.737810923382538952e-01,5.691825353371326202e+01
1.537666666666666515e+00,-1.677471705385393719e+01,-6.757305348967860281e-01,5.727927811181749007e+01
1.544000000000000039e+00,-1.644588032790321819e+01,-6.776775701289798892e-01,5.762587314980646624e+01
1.550333333333333341e+00,-1.617302028197913089e+01,-6.796222108640070925e-01,5.795584444111170797e+01
1.556666666666666421e+00,-1.596126458173285556e+01,-6.815644698105716159e-01,5.826710301995051822e+01
1.562999999999999945e+00,-1.581466735548548108e+01,-6.835043595585262866e-01,5.855767838604642606e+01
